measure,sex,age group,age units,disease,aliases,prevalence
Prevalence,Male,40-44 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",1.12%
Prevalence,Male,45-49 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",1.21%
Prevalence,Male,50-54 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",1.40%
Prevalence,Male,55-59 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",1.68%
Prevalence,Male,60-64 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",1.68%
Prevalence,Male,65-69 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",1.43%
Prevalence,Male,70-74 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",1.00%
Prevalence,Male,75-79 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.67%
Prevalence,Male,80-84 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.17%
Prevalence,Male,85-89 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.17%
Prevalence,Male,90-94 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.17%
Prevalence,Male,95+ years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.18%
Prevalence,Female,0-6 days,D,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.12%
Prevalence,Female,7-27 days,D,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.27%
Prevalence,Female,1-5 months,M,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.29%
Prevalence,Female,6-11 months,M,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.19%
Prevalence,Female,12-23 months,M,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.07%
Prevalence,Female,2-4 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.02%
Prevalence,Female,5-9 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Female,10-14 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Female,15-19 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Female,20-24 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Female,25-29 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Female,30-34 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Female,35-39 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Female,40-44 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Female,45-49 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Female,50-54 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Female,55-59 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Female,60-64 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Female,65-69 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.03%
Prevalence,Female,70-74 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.04%
Prevalence,Female,75-79 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.05%
Prevalence,Female,80-84 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.06%
Prevalence,Female,85-89 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.07%
Prevalence,Female,90-94 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.08%
Prevalence,Female,95+ years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.08%
Prevalence,Male,0-6 days,D,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.14%
Prevalence,Male,7-27 days,D,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.26%
Prevalence,Male,1-5 months,M,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.29%
Prevalence,Male,6-11 months,M,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.19%
Prevalence,Male,12-23 months,M,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.07%
Prevalence,Male,2-4 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.02%
Prevalence,Male,5-9 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Male,10-14 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Male,15-19 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Male,20-24 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Male,25-29 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Male,30-34 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Male,35-39 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Male,40-44 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.00%
Prevalence,Male,45-49 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Male,50-54 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Male,55-59 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Male,60-64 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.01%
Prevalence,Male,65-69 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.02%
Prevalence,Male,70-74 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.03%
Prevalence,Male,75-79 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.04%
Prevalence,Male,80-84 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.05%
Prevalence,Male,85-89 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.07%
Prevalence,Male,90-94 years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.08%
Prevalence,Male,95+ years,Y,Diarrheal diseases,"Diarrhea, acute diarrhea, chronic diarrhea, infectious diarrhea, non-infectious diarrhea",0.09%
Prevalence,Female,0-6 days,D,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,7-27 days,D,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,1-5 months,M,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,6-11 months,M,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,12-23 months,M,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,2-4 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,5-9 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,10-14 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,15-19 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,20-24 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,25-29 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,30-34 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,35-39 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,40-44 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,45-49 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,50-54 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,55-59 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,60-64 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,65-69 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,70-74 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,75-79 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,80-84 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,85-89 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,90-94 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,95+ years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,0-6 days,D,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,7-27 days,D,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,1-5 months,M,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,6-11 months,M,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,12-23 months,M,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,2-4 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,5-9 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,10-14 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,15-19 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,20-24 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,25-29 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,30-34 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,35-39 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,40-44 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,45-49 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,50-54 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,55-59 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,60-64 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,65-69 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,70-74 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,75-79 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,80-84 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,85-89 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,90-94 years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Male,95+ years,Y,Typhoid fever,"Typhoid, Salmonella Typhi infection",0.00%
Prevalence,Female,0-6 days,D,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,7-27 days,D,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,1-5 months,M,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,6-11 months,M,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,12-23 months,M,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,2-4 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,5-9 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,10-14 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,15-19 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,20-24 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,25-29 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,30-34 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,35-39 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,40-44 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,45-49 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,50-54 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,55-59 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,60-64 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,65-69 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,70-74 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,75-79 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,80-84 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,85-89 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,90-94 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,95+ years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,0-6 days,D,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,7-27 days,D,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,1-5 months,M,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,6-11 months,M,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,12-23 months,M,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,2-4 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,5-9 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,10-14 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,15-19 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,20-24 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,25-29 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,30-34 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,35-39 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,40-44 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,45-49 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,50-54 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,55-59 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,60-64 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,65-69 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,70-74 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,75-79 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,80-84 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,85-89 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,90-94 years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Male,95+ years,Y,Paratyphoid fever,"Paratyphoid, Salmonella Paratyphi infection",0.00%
Prevalence,Female,0-6 days,D,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.03%
Prevalence,Female,7-27 days,D,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.07%
Prevalence,Female,1-5 months,M,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.09%
Prevalence,Female,6-11 months,M,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.06%
Prevalence,Female,12-23 months,M,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.03%
Prevalence,Female,2-4 years,Y,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.02%
Prevalence,Female,5-9 years,Y,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.01%
Prevalence,Female,10-14 years,Y,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.01%
Prevalence,Female,15-19 years,Y,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.01%
Prevalence,Female,20-24 years,Y,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.01%
Prevalence,Female,25-29 years,Y,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.01%
Prevalence,Female,30-34 years,Y,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.01%
Prevalence,Female,35-39 years,Y,Lower respiratory infections,"LRI, pneumonia, bronchitis, bronchiolitis",0.01%
