measure,sex,age id,age group,disease id,disease,percent
Prevalence,Male,5,12-23 months,302,Diarrheal diseases,0.000712243
Prevalence,Male,6,2-4 years,302,Diarrheal diseases,0.000204731
Prevalence,Male,7,5-9 years,302,Diarrheal diseases,6.11E-05
Prevalence,Male,8,10-14 years,302,Diarrheal diseases,3.09E-05
Prevalence,Male,9,15-19 years,302,Diarrheal diseases,2.25E-05
Prevalence,Male,10,20-24 years,302,Diarrheal diseases,2.12E-05
Prevalence,Male,11,25-29 years,302,Diarrheal diseases,2.64E-05
Prevalence,Male,12,30-34 years,302,Diarrheal diseases,3.22E-05
Prevalence,Male,13,35-39 years,302,Diarrheal diseases,3.84E-05
Prevalence,Male,14,40-44 years,302,Diarrheal diseases,4.48E-05
Prevalence,Male,15,45-49 years,302,Diarrheal diseases,5.16E-05
Prevalence,Male,16,50-54 years,302,Diarrheal diseases,5.97E-05
Prevalence,Male,17,55-59 years,302,Diarrheal diseases,6.89E-05
Prevalence,Male,18,60-64 years,302,Diarrheal diseases,0.000121787
Prevalence,Male,19,65-69 years,302,Diarrheal diseases,0.00023043
Prevalence,Male,20,70-74 years,302,Diarrheal diseases,0.000338164
Prevalence,Male,21,75-79 years,302,Diarrheal diseases,0.000444019
Prevalence,Male,30,80-84 years,302,Diarrheal diseases,0.000548684
Prevalence,Male,31,85-89 years,302,Diarrheal diseases,0.00065094
Prevalence,Male,32,90-94 years,302,Diarrheal diseases,0.000756787
Prevalence,Male,235,95+ years,302,Diarrheal diseases,0.000864052
Prevalence,Female,1,0-6 days,319,Typhoid fever,0
Prevalence,Female,2,7-27 days,319,Typhoid fever,3.46E-09
Prevalence,Female,3,1-5 months,319,Typhoid fever,5.57E-08
Prevalence,Female,4,6-11 months,319,Typhoid fever,1.05E-07
Prevalence,Female,5,12-23 months,319,Typhoid fever,1.22E-07
Prevalence,Female,6,2-4 years,319,Typhoid fever,1.14E-07
Prevalence,Female,7,5-9 years,319,Typhoid fever,5.81E-08
Prevalence,Female,8,10-14 years,319,Typhoid fever,5.81E-08
Prevalence,Female,9,15-19 years,319,Typhoid fever,5.61E-08
Prevalence,Female,10,20-24 years,319,Typhoid fever,6.17E-08
Prevalence,Female,11,25-29 years,319,Typhoid fever,7.21E-08
Prevalence,Female,12,30-34 years,319,Typhoid fever,7.90E-08
Prevalence,Female,13,35-39 years,319,Typhoid fever,7.92E-08
Prevalence,Female,14,40-44 years,319,Typhoid fever,7.33E-08
Prevalence,Female,15,45-49 years,319,Typhoid fever,6.84E-08
Prevalence,Female,16,50-54 years,319,Typhoid fever,6.74E-08
Prevalence,Female,17,55-59 years,319,Typhoid fever,6.49E-08
Prevalence,Female,18,60-64 years,319,Typhoid fever,6.39E-08
Prevalence,Female,19,65-69 years,319,Typhoid fever,6.09E-08
Prevalence,Female,20,70-74 years,319,Typhoid fever,5.91E-08
Prevalence,Female,21,75-79 years,319,Typhoid fever,1.16E-07
Prevalence,Female,30,80-84 years,319,Typhoid fever,2.13E-07
Prevalence,Female,31,85-89 years,319,Typhoid fever,3.05E-07
Prevalence,Female,32,90-94 years,319,Typhoid fever,3.90E-07
Prevalence,Female,235,95+ years,319,Typhoid fever,4.91E-07
Prevalence,Male,1,0-6 days,319,Typhoid fever,0
Prevalence,Male,2,7-27 days,319,Typhoid fever,3.47E-09
Prevalence,Male,3,1-5 months,319,Typhoid fever,5.77E-08
Prevalence,Male,4,6-11 months,319,Typhoid fever,1.06E-07
Prevalence,Male,5,12-23 months,319,Typhoid fever,1.09E-07
Prevalence,Male,6,2-4 years,319,Typhoid fever,8.82E-08
Prevalence,Male,7,5-9 years,319,Typhoid fever,3.27E-08
Prevalence,Male,8,10-14 years,319,Typhoid fever,3.28E-08
Prevalence,Male,9,15-19 years,319,Typhoid fever,5.04E-08
Prevalence,Male,10,20-24 years,319,Typhoid fever,6.76E-08
Prevalence,Male,11,25-29 years,319,Typhoid fever,7.53E-08
Prevalence,Male,12,30-34 years,319,Typhoid fever,8.57E-08
Prevalence,Male,13,35-39 years,319,Typhoid fever,8.69E-08
Prevalence,Male,14,40-44 years,319,Typhoid fever,7.62E-08
Prevalence,Male,15,45-49 years,319,Typhoid fever,7.01E-08
Prevalence,Male,16,50-54 years,319,Typhoid fever,6.96E-08
Prevalence,Male,17,55-59 years,319,Typhoid fever,6.77E-08
Prevalence,Male,18,60-64 years,319,Typhoid fever,6.64E-08
Prevalence,Male,19,65-69 years,319,Typhoid fever,6.75E-08
Prevalence,Male,20,70-74 years,319,Typhoid fever,6.62E-08
Prevalence,Male,21,75-79 years,319,Typhoid fever,1.45E-07
Prevalence,Male,30,80-84 years,319,Typhoid fever,2.60E-07
Prevalence,Male,31,85-89 years,319,Typhoid fever,3.60E-07
Prevalence,Male,32,90-94 years,319,Typhoid fever,4.42E-07
Prevalence,Male,235,95+ years,319,Typhoid fever,5.25E-07
Prevalence,Female,1,0-6 days,320,Paratyphoid fever,0
Prevalence,Female,2,7-27 days,320,Paratyphoid fever,9.93E-09
Prevalence,Female,3,1-5 months,320,Paratyphoid fever,1.58E-07
Prevalence,Female,4,6-11 months,320,Paratyphoid fever,2.86E-07
Prevalence,Female,5,12-23 months,320,Paratyphoid fever,3.24E-07
Prevalence,Female,6,2-4 years,320,Paratyphoid fever,2.87E-07
Prevalence,Female,7,5-9 years,320,Paratyphoid fever,1.22E-07
Prevalence,Female,8,10-14 years,320,Paratyphoid fever,1.14E-07
Prevalence,Female,9,15-19 years,320,Paratyphoid fever,1.20E-07
Prevalence,Female,10,20-24 years,320,Paratyphoid fever,1.31E-07
Prevalence,Female,11,25-29 years,320,Paratyphoid fever,1.35E-07
Prevalence,Female,12,30-34 years,320,Paratyphoid fever,1.46E-07
Prevalence,Female,13,35-39 years,320,Paratyphoid fever,1.47E-07
Prevalence,Female,14,40-44 years,320,Paratyphoid fever,1.42E-07
Prevalence,Female,15,45-49 years,320,Paratyphoid fever,1.36E-07
Prevalence,Female,16,50-54 years,320,Paratyphoid fever,1.26E-07
Prevalence,Female,17,55-59 years,320,Paratyphoid fever,1.19E-07
Prevalence,Female,18,60-64 years,320,Paratyphoid fever,1.12E-07
Prevalence,Female,19,65-69 years,320,Paratyphoid fever,1.03E-07
Prevalence,Female,20,70-74 years,320,Paratyphoid fever,9.79E-08
Prevalence,Female,21,75-79 years,320,Paratyphoid fever,2.21E-07
Prevalence,Female,30,80-84 years,320,Paratyphoid fever,4.30E-07
Prevalence,Female,31,85-89 years,320,Paratyphoid fever,6.38E-07
Prevalence,Female,32,90-94 years,320,Paratyphoid fever,8.53E-07
Prevalence,Female,235,95+ years,320,Paratyphoid fever,1.08E-06
Prevalence,Male,1,0-6 days,320,Paratyphoid fever,0
Prevalence,Male,2,7-27 days,320,Paratyphoid fever,1.39E-08
Prevalence,Male,3,1-5 months,320,Paratyphoid fever,2.22E-07
Prevalence,Male,4,6-11 months,320,Paratyphoid fever,3.95E-07
Prevalence,Male,5,12-23 months,320,Paratyphoid fever,4.07E-07
Prevalence,Male,6,2-4 years,320,Paratyphoid fever,3.07E-07
Prevalence,Male,7,5-9 years,320,Paratyphoid fever,1.07E-07
Prevalence,Male,8,10-14 years,320,Paratyphoid fever,8.66E-08
Prevalence,Male,9,15-19 years,320,Paratyphoid fever,9.48E-08
Prevalence,Male,10,20-24 years,320,Paratyphoid fever,1.13E-07
Prevalence,Male,11,25-29 years,320,Paratyphoid fever,1.50E-07
Prevalence,Male,12,30-34 years,320,Paratyphoid fever,1.95E-07
Prevalence,Male,13,35-39 years,320,Paratyphoid fever,2.07E-07
Prevalence,Male,14,40-44 years,320,Paratyphoid fever,1.85E-07
Prevalence,Male,15,45-49 years,320,Paratyphoid fever,1.76E-07
Prevalence,Male,16,50-54 years,320,Paratyphoid fever,1.82E-07
Prevalence,Male,17,55-59 years,320,Paratyphoid fever,1.84E-07
Prevalence,Male,18,60-64 years,320,Paratyphoid fever,1.89E-07
Prevalence,Male,19,65-69 years,320,Paratyphoid fever,1.95E-07
Prevalence,Male,20,70-74 years,320,Paratyphoid fever,2.02E-07
Prevalence,Male,21,75-79 years,320,Paratyphoid fever,4.75E-07
Prevalence,Male,30,80-84 years,320,Paratyphoid fever,9.21E-07
Prevalence,Male,31,85-89 years,320,Paratyphoid fever,1.39E-06
Prevalence,Male,32,90-94 years,320,Paratyphoid fever,1.87E-06
Prevalence,Male,235,95+ years,320,Paratyphoid fever,2.42E-06
Prevalence,Female,1,0-6 days,322,Lower respiratory infections,0.000306385
Prevalence,Female,2,7-27 days,322,Lower respiratory infections,0.000741016
Prevalence,Female,3,1-5 months,322,Lower respiratory infections,0.000860083
Prevalence,Female,4,6-11 months,322,Lower respiratory infections,0.000594833
Prevalence,Female,5,12-23 months,322,Lower respiratory infections,0.00030017
Prevalence,Female,6,2-4 years,322,Lower respiratory infections,0.000175848
Prevalence,Female,7,5-9 years,322,Lower respiratory infections,9.52E-05
Prevalence,Female,8,10-14 years,322,Lower respiratory infections,5.18E-05
Prevalence,Female,9,15-19 years,322,Lower respiratory infections,5.68E-05
Prevalence,Female,10,20-24 years,322,Lower respiratory infections,6.50E-05
Prevalence,Female,11,25-29 years,322,Lower respiratory infections,7.27E-05
Prevalence,Female,12,30-34 years,322,Lower respiratory infections,8.07E-05
Prevalence,Female,13,35-39 years,322,Lower respiratory infections,8.88E-05
Prevalence,Female,14,40-44 years,322,Lower respiratory infections,0.000114512
Prevalence,Female,15,45-49 years,322,Lower respiratory infections,0.000162929
Prevalence,Female,16,50-54 years,322,Lower respiratory infections,0.000213497
Prevalence,Female,17,55-59 years,322,Lower respiratory infections,0.000262986
Prevalence,Female,18,60-64 years,322,Lower respiratory infections,0.000403592
Prevalence,Female,19,65-69 years,322,Lower respiratory infections,0.000670569
Prevalence,Female,20,70-74 years,322,Lower respiratory infections,0.000903018
Prevalence,Female,21,75-79 years,322,Lower respiratory infections,0.001178773
Prevalence,Female,30,80-84 years,322,Lower respiratory infections,0.001676886
Prevalence,Female,31,85-89 years,322,Lower respiratory infections,0.00243928
Prevalence,Female,32,90-94 years,322,Lower respiratory infections,0.003193038
Prevalence,Female,235,95+ years,322,Lower respiratory infections,0.003930701
Prevalence,Male,1,0-6 days,322,Lower respiratory infections,0.000540712
Prevalence,Male,2,7-27 days,322,Lower respiratory infections,0.001139726
Prevalence,Male,3,1-5 months,322,Lower respiratory infections,0.001363864
Prevalence,Male,4,6-11 months,322,Lower respiratory infections,0.00092535
Prevalence,Male,5,12-23 months,322,Lower respiratory infections,0.000422916
Prevalence,Male,6,2-4 years,322,Lower respiratory infections,0.000207266
Prevalence,Male,7,5-9 years,322,Lower respiratory infections,0.000105059
Prevalence,Male,8,10-14 years,322,Lower respiratory infections,5.82E-05
Prevalence,Male,9,15-19 years,322,Lower respiratory infections,5.82E-05
Prevalence,Male,10,20-24 years,322,Lower respiratory infections,6.18E-05
Prevalence,Male,11,25-29 years,322,Lower respiratory infections,6.55E-05
Prevalence,Male,12,30-34 years,322,Lower respiratory infections,6.99E-05
Prevalence,Male,13,35-39 years,322,Lower respiratory infections,7.47E-05
Prevalence,Male,14,40-44 years,322,Lower respiratory infections,9.92E-05
Prevalence,Male,15,45-49 years,322,Lower respiratory infections,0.000149569
Prevalence,Male,16,50-54 years,322,Lower respiratory infections,0.000202451
Prevalence,Male,17,55-59 years,322,Lower respiratory infections,0.000254927
Prevalence,Male,18,60-64 years,322,Lower respiratory infections,0.000418286
Prevalence,Male,19,65-69 years,322,Lower respiratory infections,0.000736955
Prevalence,Male,20,70-74 years,322,Lower respiratory infections,0.001020821
Prevalence,Male,21,75-79 years,322,Lower respiratory infections,0.001356449
Prevalence,Male,30,80-84 years,322,Lower respiratory infections,0.002030504
Prevalence,Male,31,85-89 years,322,Lower respiratory infections,0.003103159
Prevalence,Male,32,90-94 years,322,Lower respiratory infections,0.004150977
Prevalence,Male,235,95+ years,322,Lower respiratory infections,0.005176665
Prevalence,Female,1,0-6 days,328,Upper respiratory infections,0.080000704
Prevalence,Female,2,7-27 days,328,Upper respiratory infections,0.158891587
Prevalence,Female,3,1-5 months,328,Upper respiratory infections,0.183854848
Prevalence,Female,4,6-11 months,328,Upper respiratory infections,0.170716375
Prevalence,Female,5,12-23 months,328,Upper respiratory infections,0.151477562
Prevalence,Female,6,2-4 years,328,Upper respiratory infections,0.099058001
Prevalence,Female,7,5-9 years,328,Upper respiratory infections,0.065117881
Prevalence,Female,8,10-14 years,328,Upper respiratory infections,0.045191831
Prevalence,Female,9,15-19 years,328,Upper respiratory infections,0.042428987
Prevalence,Female,10,20-24 years,328,Upper respiratory infections,0.042589887
Prevalence,Female,11,25-29 years,328,Upper respiratory infections,0.040250955
Prevalence,Female,12,30-34 years,328,Upper respiratory infections,0.039035324
Prevalence,Female,13,35-39 years,328,Upper respiratory infections,0.038456181
Prevalence,Female,14,40-44 years,328,Upper respiratory infections,0.036016579
Prevalence,Female,15,45-49 years,328,Upper respiratory infections,0.034174535
Prevalence,Female,16,50-54 years,328,Upper respiratory infections,0.034821943
Prevalence,Female,17,55-59 years,328,Upper respiratory infections,0.03525275
Prevalence,Female,18,60-64 years,328,Upper respiratory infections,0.032323231
Prevalence,Female,19,65-69 years,328,Upper respiratory infections,0.028802101
Prevalence,Female,20,70-74 years,328,Upper respiratory infections,0.026355366
Prevalence,Female,21,75-79 years,328,Upper respiratory infections,0.02285982
Prevalence,Female,30,80-84 years,328,Upper respiratory infections,0.020749104
Prevalence,Female,31,85-89 years,328,Upper respiratory infections,0.020638595
Prevalence,Female,32,90-94 years,328,Upper respiratory infections,0.020503455
Prevalence,Female,235,95+ years,328,Upper respiratory infections,0.020294751
Prevalence,Male,1,0-6 days,328,Upper respiratory infections,0.103464825
Prevalence,Male,2,7-27 days,328,Upper respiratory infections,0.178910437
Prevalence,Male,3,1-5 months,328,Upper respiratory infections,0.213348843
Prevalence,Male,4,6-11 months,328,Upper respiratory infections,0.195667766
Prevalence,Male,5,12-23 months,328,Upper respiratory infections,0.167747987
Prevalence,Male,6,2-4 years,328,Upper respiratory infections,0.101610419
Prevalence,Male,7,5-9 years,328,Upper respiratory infections,0.065131367
Prevalence,Male,8,10-14 years,328,Upper respiratory infections,0.042738439
Prevalence,Male,9,15-19 years,328,Upper respiratory infections,0.037352998
Prevalence,Male,10,20-24 years,328,Upper respiratory infections,0.037264142
Prevalence,Male,11,25-29 years,328,Upper respiratory infections,0.035667425
Prevalence,Male,12,30-34 years,328,Upper respiratory infections,0.033614795
Prevalence,Male,13,35-39 years,328,Upper respiratory infections,0.033020595
Prevalence,Male,14,40-44 years,328,Upper respiratory infections,0.031775825
Prevalence,Male,15,45-49 years,328,Upper respiratory infections,0.029406802
Prevalence,Male,16,50-54 years,328,Upper respiratory infections,0.029783906
Prevalence,Male,17,55-59 years,328,Upper respiratory infections,0.030553042
Prevalence,Male,18,60-64 years,328,Upper respiratory infections,0.029112401
Prevalence,Male,19,65-69 years,328,Upper respiratory infections,0.027389675
Prevalence,Male,20,70-74 years,328,Upper respiratory infections,0.026793062
Prevalence,Male,21,75-79 years,328,Upper respiratory infections,0.026405284
Prevalence,Male,30,80-84 years,328,Upper respiratory infections,0.023988958
Prevalence,Male,31,85-89 years,328,Upper respiratory infections,0.021052247
Prevalence,Male,32,90-94 years,328,Upper respiratory infections,0.019958058
Prevalence,Male,235,95+ years,328,Upper respiratory infections,0.020063878
Prevalence,Female,1,0-6 days,329,Otitis media,0.003336086
Prevalence,Female,2,7-27 days,329,Otitis media,0.011278106
Prevalence,Female,3,1-5 months,329,Otitis media,0.022966725
Prevalence,Female,4,6-11 months,329,Otitis media,0.031869987
Prevalence,Female,5,12-23 months,329,Otitis media,0.040525612
Prevalence,Female,6,2-4 years,329,Otitis media,0.031673252
Prevalence,Female,7,5-9 years,329,Otitis media,0.020227701
Prevalence,Female,8,10-14 years,329,Otitis media,0.012033287
Prevalence,Female,9,15-19 years,329,Otitis media,0.010030153
Prevalence,Female,10,20-24 years,329,Otitis media,0.006413739
Prevalence,Female,11,25-29 years,329,Otitis media,0.005357127
Prevalence,Female,12,30-34 years,329,Otitis media,0.004851209
Prevalence,Female,13,35-39 years,329,Otitis media,0.004804269
Prevalence,Female,14,40-44 years,329,Otitis media,0.005198096
Prevalence,Female,15,45-49 years,329,Otitis media,0.00625364
Prevalence,Female,16,50-54 years,329,Otitis media,0.006989062
Prevalence,Female,17,55-59 years,329,Otitis media,0.006051367
Prevalence,Female,18,60-64 years,329,Otitis media,0.004917898
Prevalence,Female,19,65-69 years,329,Otitis media,0.004142373
Prevalence,Female,20,70-74 years,329,Otitis media,0.003649952
Prevalence,Female,21,75-79 years,329,Otitis media,0.003439961
Prevalence,Female,30,80-84 years,329,Otitis media,0.003528589
Prevalence,Female,31,85-89 years,329,Otitis media,0.004186159
Prevalence,Female,32,90-94 years,329,Otitis media,0.005099997
Prevalence,Female,235,95+ years,329,Otitis media,0.006272724
Prevalence,Male,1,0-6 days,329,Otitis media,0.004202385
Prevalence,Male,2,7-27 days,329,Otitis media,0.012445079
Prevalence,Male,3,1-5 months,329,Otitis media,0.028352688
Prevalence,Male,4,6-11 months,329,Otitis media,0.041854176
Prevalence,Male,5,12-23 months,329,Otitis media,0.050597232
Prevalence,Male,6,2-4 years,329,Otitis media,0.036480665
Prevalence,Male,7,5-9 years,329,Otitis media,0.02308178
Prevalence,Male,8,10-14 years,329,Otitis media,0.013948788
Prevalence,Male,9,15-19 years,329,Otitis media,0.011038813
Prevalence,Male,10,20-24 years,329,Otitis media,0.00673231
Prevalence,Male,11,25-29 years,329,Otitis media,0.005664299
Prevalence,Male,12,30-34 years,329,Otitis media,0.005222538
Prevalence,Male,13,35-39 years,329,Otitis media,0.005152026
Prevalence,Male,14,40-44 years,329,Otitis media,0.005425041
Prevalence,Male,15,45-49 years,329,Otitis media,0.006218352
Prevalence,Male,16,50-54 years,329,Otitis media,0.006786373
Prevalence,Male,17,55-59 years,329,Otitis media,0.006112115
Prevalence,Male,18,60-64 years,329,Otitis media,0.00540939
Prevalence,Male,19,65-69 years,329,Otitis media,0.005172254
Prevalence,Male,20,70-74 years,329,Otitis media,0.005145577
Prevalence,Male,21,75-79 years,329,Otitis media,0.005167311
Prevalence,Male,30,80-84 years,329,Otitis media,0.005476659
Prevalence,Male,31,85-89 years,329,Otitis media,0.00644259
Prevalence,Male,32,90-94 years,329,Otitis media,0.007525947
Prevalence,Male,235,95+ years,329,Otitis media,0.008289658
Prevalence,Female,1,0-6 days,332,Meningitis,4.55E-06
Prevalence,Female,2,7-27 days,332,Meningitis,1.40E-05
Prevalence,Female,3,1-5 months,332,Meningitis,2.21E-05
Prevalence,Female,4,6-11 months,332,Meningitis,2.55E-05
Prevalence,Female,5,12-23 months,332,Meningitis,3.02E-05
Prevalence,Female,6,2-4 years,332,Meningitis,3.04E-05
Prevalence,Female,7,5-9 years,332,Meningitis,4.09E-05
Prevalence,Female,8,10-14 years,332,Meningitis,4.74E-05
Prevalence,Female,9,15-19 years,332,Meningitis,5.39E-05
Prevalence,Female,10,20-24 years,332,Meningitis,6.07E-05
Prevalence,Female,11,25-29 years,332,Meningitis,7.05E-05
Prevalence,Female,12,30-34 years,332,Meningitis,8.10E-05
Prevalence,Female,13,35-39 years,332,Meningitis,8.94E-05
Prevalence,Female,14,40-44 years,332,Meningitis,9.64E-05
Prevalence,Female,15,45-49 years,332,Meningitis,0.000103185
Prevalence,Female,16,50-54 years,332,Meningitis,0.000110118
Prevalence,Female,17,55-59 years,332,Meningitis,0.000119116
Prevalence,Female,18,60-64 years,332,Meningitis,0.000130263
Prevalence,Female,19,65-69 years,332,Meningitis,0.000142114
Prevalence,Female,20,70-74 years,332,Meningitis,0.000154406
Prevalence,Female,21,75-79 years,332,Meningitis,0.000165864
Prevalence,Female,30,80-84 years,332,Meningitis,0.000177989
Prevalence,Female,31,85-89 years,332,Meningitis,0.00019509
Prevalence,Female,32,90-94 years,332,Meningitis,0.000217129
Prevalence,Female,235,95+ years,332,Meningitis,0.00022852
Prevalence,Male,1,0-6 days,332,Meningitis,6.29E-06
Prevalence,Male,2,7-27 days,332,Meningitis,1.69E-05
Prevalence,Male,3,1-5 months,332,Meningitis,2.73E-05
Prevalence,Male,4,6-11 months,332,Meningitis,3.05E-05
Prevalence,Male,5,12-23 months,332,Meningitis,3.47E-05
Prevalence,Male,6,2-4 years,332,Meningitis,3.31E-05
Prevalence,Male,7,5-9 years,332,Meningitis,4.64E-05
Prevalence,Male,8,10-14 years,332,Meningitis,5.72E-05
Prevalence,Male,9,15-19 years,332,Meningitis,6.22E-05
Prevalence,Male,10,20-24 years,332,Meningitis,6.58E-05
Prevalence,Male,11,25-29 years,332,Meningitis,7.21E-05
Prevalence,Male,12,30-34 years,332,Meningitis,7.89E-05
Prevalence,Male,13,35-39 years,332,Meningitis,8.47E-05
Prevalence,Male,14,40-44 years,332,Meningitis,8.96E-05
Prevalence,Male,15,45-49 years,332,Meningitis,9.51E-05
Prevalence,Male,16,50-54 years,332,Meningitis,0.000101088
Prevalence,Male,17,55-59 years,332,Meningitis,0.000108673
Prevalence,Male,18,60-64 years,332,Meningitis,0.000118148
Prevalence,Male,19,65-69 years,332,Meningitis,0.000129168
Prevalence,Male,20,70-74 years,332,Meningitis,0.000143129
Prevalence,Male,21,75-79 years,332,Meningitis,0.000161679
Prevalence,Male,30,80-84 years,332,Meningitis,0.000183333
Prevalence,Male,31,85-89 years,332,Meningitis,0.000206047
